vertiport_id,city,city_code,region,vertiport_type,lat,lon,pad_count,charging_available,daily_capacity_sorties,ground_access_level,approval_status,data_nature,source_basis
VP_110000_001,北京,110000,华北,园区综合起降点,39.804249,116.356117,3,True,40,较好,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_002,北京,110000,华北,园区综合起降点,39.769562,116.636275,2,True,20,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_003,北京,110000,华北,物流起降点,39.840742,116.336786,2,False,80,较好,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_004,北京,110000,华北,文旅观光起降点,39.769138,116.50637,4,True,40,优秀,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_005,北京,110000,华北,应急救援起降点,39.887903,116.372733,1,False,80,优秀,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_006,北京,110000,华北,应急救援起降点,40.01899,116.343883,2,True,80,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_007,北京,110000,华北,物流起降点,40.078105,116.19299,3,True,20,优秀,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_008,北京,110000,华北,文旅观光起降点,39.797304,116.31076,3,True,20,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_009,北京,110000,华北,物流起降点,39.954565,116.151512,1,False,20,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_010,北京,110000,华北,应急救援起降点,39.693676,116.650817,1,True,120,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_011,北京,110000,华北,eVTOL候机点,39.939922,116.387256,1,False,80,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_012,北京,110000,华北,园区综合起降点,40.079213,116.147242,2,True,40,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_013,北京,110000,华北,文旅观光起降点,39.761862,116.373032,1,True,20,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_014,北京,110000,华北,园区综合起降点,40.103876,116.469432,1,True,40,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_015,北京,110000,华北,文旅观光起降点,39.908269,116.454296,3,False,40,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_016,北京,110000,华北,文旅观光起降点,40.023047,116.485305,3,False,120,一般,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
