flight_plan_id,operator_id,aircraft_id,aircraft_type,city,city_code,region,route_id,scenario,apply_time,planned_takeoff_time,planned_landing_time,planned_duration_min,planned_altitude_m,planned_distance_km,night_flight,payload_kg,approval_status,preflight_risk_score,preflight_risk_level,data_nature,source_basis
FP000001,OP0503,UAV00609,多旋翼无人机,广州,440100,中南,RT_440100_052,园区低空运营,2026-06-20 10:41:00,2026-06-20 13:41:00,2026-06-20 14:36:00,55,51,50.83,False,1.34,驳回,10.19,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000002,OP0556,UAV01336,多旋翼无人机,苏州,320500,华东,RT_320500_022,交通巡查,2026-03-21 21:10:00,2026-03-22 08:10:00,2026-03-22 08:47:00,37,76,27.13,False,10.07,通过,56.98,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000003,OP0427,UAV02682,直升机,上海,310000,华东,RT_310000_025,园区低空运营,2026-04-15 14:16:00,2026-04-16 18:16:00,2026-04-16 18:48:00,32,68,25.11,False,62.17,通过,10.65,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000004,OP0096,UAV00095,系留无人机,苏州,320500,华东,RT_320500_032,电力巡检,2026-04-12 09:16:00,2026-04-13 17:16:00,2026-04-13 17:28:00,12,97,14.92,False,0.81,通过,27.76,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000005,OP0444,UAV00421,多旋翼无人机,西安,610100,西北,RT_610100_056,医疗物资运输,2026-03-29 00:01:00,2026-03-29 08:01:00,2026-03-29 08:24:00,23,85,61.92,False,6.37,通过,36.21,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000006,OP0339,UAV01469,eVTOL,南通,320600,华东,RT_320600_011,城市治理巡检,2026-01-05 00:05:00,2026-01-06 11:05:00,2026-01-06 12:01:00,56,121,27.89,False,114.97,待审,22.3,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000007,OP0374,UAV01307,多旋翼无人机,郑州,410100,中南,RT_410100_056,交通巡查,2026-05-06 22:38:00,2026-05-07 14:38:00,2026-05-07 15:12:00,34,133,29.88,False,1.66,通过,25.17,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000008,OP0550,UAV01158,多旋翼无人机,青岛,370200,华东,RT_370200_002,文旅观光,2026-02-26 06:53:00,2026-02-27 10:53:00,2026-02-27 11:13:00,20,55,38.52,False,1.36,通过,20.35,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000009,OP0577,UAV02119,多旋翼无人机,武汉,420100,中南,RT_420100_011,文旅观光,2026-03-21 04:51:00,2026-03-21 19:51:00,2026-03-21 19:59:00,8,82,60.22,False,3.78,通过,12.21,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000010,OP0309,UAV01941,多旋翼无人机,成都,510100,西南,RT_510100_002,电力巡检,2026-03-08 07:41:00,2026-03-09 00:41:00,2026-03-09 01:13:00,32,119,16.78,True,3.91,通过,50.31,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000011,OP0611,UAV01069,直升机,珠海,440400,中南,RT_440400_003,低空物流配送,2026-02-10 11:15:00,2026-02-11 06:15:00,2026-02-11 07:09:00,54,90,43.95,False,60.09,通过,19.33,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000012,OP0228,UAV00885,多旋翼无人机,南通,320600,华东,RT_320600_031,低空物流配送,2026-05-27 10:58:00,2026-05-28 14:58:00,2026-05-28 15:38:00,40,142,40.43,False,3.41,通过,18.27,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000013,OP0156,UAV01709,eVTOL,南京,320100,华东,RT_320100_018,城市治理巡检,2026-05-17 23:12:00,2026-05-18 03:12:00,2026-05-18 04:10:00,58,123,25.23,True,117.49,通过,26.83,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000014,OP0499,UAV00063,多旋翼无人机,武汉,420100,中南,RT_420100_023,医疗物资运输,2026-04-24 11:31:00,2026-04-25 14:31:00,2026-04-25 15:09:00,38,85,34.16,False,3.32,通过,28.28,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000015,OP0229,UAV02182,eVTOL,苏州,320500,华东,RT_320500_015,园区低空运营,2026-01-03 15:11:00,2026-01-05 03:11:00,2026-01-05 03:49:00,38,61,11.63,True,124.42,需补充材料,60.46,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000016,OP0258,UAV02375,系留无人机,青岛,370200,华东,RT_370200_048,文旅观光,2026-02-02 12:51:00,2026-02-03 05:51:00,2026-02-03 06:27:00,36,100,28.05,True,0.0,通过,40.68,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
