图表名称,图表类型,数据来源,所属章节,核心结论
注册无人机指标卡片,指标卡片,中国民用航空局/交通运输部公开统计，本地清洗表01-04,第一章 行业机会,注册无人机的最新公开值为328.70万架，用于判断低空运行基础。
累计飞行小时指标卡片,指标卡片,中国民用航空局/交通运输部公开统计，本地清洗表01-04,第一章 行业机会,累计飞行小时的最新公开值为4530.29万小时，用于判断低空运行基础。
运营单位指标卡片,指标卡片,中国民用航空局/交通运输部公开统计，本地清洗表01-04,第一章 行业机会,运营单位的最新公开值为38872.00家，用于判断低空运行基础。
操控员执照指标卡片,指标卡片,中国民用航空局/交通运输部公开统计，本地清洗表01-04,第一章 行业机会,操控员执照的最新公开值为41.55万本，用于判断低空运行基础。
低空飞行服务站指标卡片,指标卡片,中国民用航空局/交通运输部公开统计，本地清洗表01-04,第一章 行业机会,低空飞行服务站的最新公开值为46.00个，用于判断低空运行基础。
低空运行基础指标小多图,小多图,中国民用航空局/交通运输部公开统计，本地清洗表01-04,第一章 行业机会,把注册量、飞行小时、执照、运营主体和服务站并排查看，能避免只盯单一规模指标。
官方指标同比热力,同比热力图,中国民用航空局/交通运输部公开统计，本地清洗表01-04,第一章 行业机会,同比热力图把增长速度和规模指标拆开，方便判断哪类需求增长更快。
区域运营单位排名变化,排名变化图,中国民用航空局/交通运输部公开统计，本地清洗表01-04,第六章 市场竞争,排名变化能提醒团队不要只看全国总量，区域增速会影响首批市场选择。
区域运营单位哑铃对比,哑铃图,中国民用航空局/交通运输部公开统计，本地清洗表01-04,第六章 市场竞争,哑铃图清楚展示区域存量变化，是进入策略的基础证据。
地方政策主题矩形树图,矩形树图,地方低空经济政策目标，本地清洗表05,第一章 行业机会,政策目标主题越集中，越说明城市在平台、航线、起降点和监管能力上已经进入任务化阶段。
政策目标气泡时间线,气泡时间线,地方低空经济政策目标，本地清洗表05,第一章 行业机会,目标年份和目标规模一起看，能够识别近期最适合切入的城市任务。
城市政策重点马赛克,马赛克图,地方低空经济政策目标，本地清洗表05,第六章 市场竞争,不同城市的政策重心不一样，销售材料要按主题组合，而不是一套话术走到底。
公共数据目录类型矩阵,数据目录矩阵,公开数据目录，本地清洗表08,第五章 数据体系,公共数据目录帮助说明哪些数据能公开获得，哪些数据需要试点后申请或合作接入。
场景KPI模块放射图,放射玫瑰图,场景KPI矩阵，本地清洗表07,第三章 产品服务,KPI模块分布显示产品不是单一监控屏，而是覆盖运营、风险、空域和公众服务的组合。
场景航程岭线分布,岭线分布图,平台演示样本，已在data_nature字段标注,第五章 数据体系,不同场景的航程分布不同，航线评估和续航约束不能使用同一套阈值。
飞行计划日历热力,日历热力图,平台演示样本，已在data_nature字段标注,第十三章 Web Demo,日历热力能让运营方提前安排值班、审批和设备巡检。
