field_id,module,layer,table_name,field_name_en,field_name_cn,data_type,unit,recommended_update_frequency,sensitivity_level,quality_rule,source_basis,data_nature,platform_use,required_for_mvp
F0001,飞行器身份与适航,感知层/业务层,t_aircraft_identity,aircraft_id,aircraft id,string/id,,按业务事件,低,主键唯一/时间戳不可为空/坐标需在城市边界内,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0002,飞行器身份与适航,感知层/业务层,t_aircraft_identity,registration_no,registration no,string/id,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0003,飞行器身份与适航,感知层/业务层,t_aircraft_identity,remote_id,remote id,numeric,,按业务事件,低,主键唯一/时间戳不可为空/坐标需在城市边界内,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0004,飞行器身份与适航,感知层/业务层,t_aircraft_identity,serial_no,serial no,string/id,,按业务事件,高,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0005,飞行器身份与适航,感知层/业务层,t_aircraft_identity,manufacturer,manufacturer,numeric,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0006,飞行器身份与适航,感知层/业务层,t_aircraft_identity,model,model,numeric,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0007,飞行器身份与适航,感知层/业务层,t_aircraft_identity,aircraft_category,aircraft category,string,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0008,飞行器身份与适航,感知层/业务层,t_aircraft_identity,size_class,size class,string,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0009,飞行器身份与适航,感知层/业务层,t_aircraft_identity,mtow_kg,mtow kg,numeric,千克,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0010,飞行器身份与适航,感知层/业务层,t_aircraft_identity,empty_weight_kg,empty weight kg,numeric,千克,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0011,飞行器身份与适航,感知层/业务层,t_aircraft_identity,wingspan_m,wingspan m,numeric,米,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0012,飞行器身份与适航,感知层/业务层,t_aircraft_identity,rotor_count,rotor count,numeric,个/架/次,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0013,飞行器身份与适航,感知层/业务层,t_aircraft_identity,energy_type,energy type,string,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0014,飞行器身份与适航,感知层/业务层,t_aircraft_identity,battery_capacity_wh,battery capacity wh,numeric,Wh,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0015,飞行器身份与适航,感知层/业务层,t_aircraft_identity,max_speed_mps,max speed mps,numeric,米/秒,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0016,飞行器身份与适航,感知层/业务层,t_aircraft_identity,max_range_km,max range km,numeric,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0017,飞行器身份与适航,感知层/业务层,t_aircraft_identity,max_endurance_min,max endurance min,numeric,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0018,飞行器身份与适航,感知层/业务层,t_aircraft_identity,parachute_equipped,parachute equipped,string,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0019,飞行器身份与适航,感知层/业务层,t_aircraft_identity,geo_fence_capable,geo fence capable,string,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0020,飞行器身份与适航,感知层/业务层,t_aircraft_identity,firmware_version,firmware version,numeric,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0021,飞行器身份与适航,感知层/业务层,t_aircraft_identity,airworthiness_cert_no,airworthiness cert no,string/id,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0022,飞行器身份与适航,感知层/业务层,t_aircraft_identity,maintenance_status,maintenance status,numeric,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0023,飞行器身份与适航,感知层/业务层,t_aircraft_identity,last_maintenance_time,last maintenance time,datetime/date,,按业务事件,低,主键唯一/时间戳不可为空/坐标需在城市边界内,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0024,飞行器身份与适航,感知层/业务层,t_aircraft_identity,insurance_policy_no,insurance policy no,string/id,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机实名/运营监管口径+城市平台身份识别需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0025,主体与操控员,感知层/业务层,t_operator,operator_id,operator id,string/id,,按业务事件,高,主键唯一/时间戳不可为空/坐标需在城市边界内,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
