source_id,title,publisher,date,url,use,source_type
S001,国务院关于《2024年政府工作报告》的公开文本,中国政府网,2024-03,https://www.gov.cn/yaowen/liebiao/202403/content_6939153.htm,确认低空经济被列为新增长引擎相关表述。,official_policy
S002,无人驾驶航空器飞行管理暂行条例,国务院、中央军委；中国民用航空局公开,2023-06发布，2024-01施行,https://www.caac.gov.cn/XXGK/XXGK/FLFG/202401/t20240115_222642.html,支撑无人驾驶航空器飞行活动、身份、空域、记录和安全管理边界。,official_regulation
S003,通用航空装备创新应用实施方案（2024-2030年）,工业和信息化部等部门,2024,https://wap.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2024/art_4ce8d09c15ee4fb1aefc3d5dfbbb6584.html,支撑低空装备、应用示范、公共服务和运行保障场景。,official_policy
S004,低空经济及其核心产业统计分类（试行）,国家发展改革委,2025-12,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402669.html,用于界定低空经济产业边界和统计口径。,official_policy
S005,低空经济政策法规全量数据.csv,本地整理数据集或公开数据源,按文件记录年份,02_source_assets\_整理\数据\低空经济政策法规全量数据.csv,按年份、地区和政策类型聚合，用于政策窗口与区域机会分析。,local_dataset
S006,低空经济招投标项目全量数据.csv,本地整理数据集或公开数据源,按文件记录年份,02_source_assets\_整理\数据\低空经济招投标项目全量数据.csv,按预算、项目类型和省份聚合，用于市场温度和采购场景判断。,local_dataset
S007,低空经济专利全量数据.csv,本地整理数据集或公开数据源,按文件记录年份,02_source_assets\_整理\数据\低空经济专利全量数据.csv,按年份、IPC和申请人聚合，用于技术活跃度分析。,local_dataset
S008,低空经济相关企业全量数据.csv,本地整理数据集或公开数据源,按文件记录年份,02_source_assets\_整理\数据\低空经济相关企业全量数据.csv,按省份、行业和注册年份聚合，用于产业生态分析。,local_dataset
S009,低空经济产业链上下游数据.csv,本地整理数据集或公开数据源,按文件记录年份,02_source_assets\_整理\数据\低空经济产业链上下游数据.csv,按产业链环节和细分领域聚合，用于伙伴生态分析。,local_dataset
S010,各省低空经济指数数据（1990-2024）.csv,本地整理数据集或公开数据源,按文件记录年份,02_source_assets\_整理\数据\各省低空经济指数数据（1990-2024）.csv,用于省域指数、区域分层和市场进入顺序分析。,local_dataset
S011,低空安全事件与监管案例数据.csv,本地整理数据集或公开数据源,按文件记录年份,02_source_assets\_整理\数据\低空安全事件与监管案例数据.csv,用于安全事件类型、严重程度和监管处置分析。,local_dataset
S012,低空起降设施与空域数据.csv,本地整理数据集或公开数据源,按文件记录年份,02_source_assets\_整理\数据\低空起降设施与空域数据.csv,用于起降设施类型、状态和容量分析。,local_dataset
S013,低空飞行活动与轨迹数据.csv,本地整理数据集或公开数据源,按文件记录年份,02_source_assets\_整理\数据\低空飞行活动与轨迹数据.csv,用于飞行类型、距离、高度和运行场景分析。,local_dataset
S014,OurAirports Open Data,本地整理数据集或公开数据源,按文件记录年份,OurAirports Open Data,用于机场、跑道和导航台公开数据说明。,local_dataset
