station_id,city,city_code,region,sensor_type,lat,lon,coverage_radius_km,height_m,online_status,health_score,last_maintenance_date,data_nature,source_basis
ST_110000_001,北京,110000,华北,电子围栏边界节点,39.970105,116.156662,1.18,54.0,在线,85.2,2026-04-26,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_002,北京,110000,华北,低空监视雷达,39.707447,116.701295,9.36,54.2,在线,93.7,2026-04-12,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_003,北京,110000,华北,5G-A通感基站,39.946577,116.107676,2.56,55.4,在线,82.7,2026-06-16,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_004,北京,110000,华北,电子围栏边界节点,39.767358,116.617291,1.54,32.4,在线,86.7,2026-05-31,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_005,北京,110000,华北,光电云台,39.702834,116.276055,3.06,61.0,在线,74.9,2026-06-22,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_006,北京,110000,华北,气象微站,39.883919,116.109242,2.32,44.3,维护,93.0,2026-06-24,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_007,北京,110000,华北,射频侦测,39.711711,116.215334,9.53,33.6,在线,94.5,2026-05-02,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_008,北京,110000,华北,北斗增强站,39.70814,116.341017,21.88,50.9,维护,92.3,2026-05-15,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_009,北京,110000,华北,气象微站,40.130581,116.275905,3.05,13.0,在线,81.0,2026-06-04,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_010,北京,110000,华北,低空监视雷达,40.021601,116.575958,13.19,23.4,维护,72.7,2026-04-24,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_011,北京,110000,华北,低空监视雷达,39.821051,116.210004,14.68,66.8,在线,78.3,2026-05-03,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_012,北京,110000,华北,ADS-B接收站,40.124232,116.415386,21.22,79.8,在线,82.5,2026-03-28,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_013,北京,110000,华北,北斗增强站,39.801948,116.32941,16.97,46.0,在线,78.1,2026-06-16,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_014,北京,110000,华北,射频侦测,39.939552,116.266099,7.21,24.0,离线,85.2,2026-06-15,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_015,北京,110000,华北,5G-A通感基站,39.900029,116.621061,2.78,37.8,在线,56.9,2026-05-16,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_016,北京,110000,华北,电子围栏边界节点,39.894597,116.58957,1.32,36.8,在线,76.2,2026-04-20,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_017,北京,110000,华北,北斗增强站,39.773696,116.165134,27.5,35.4,离线,63.2,2026-06-22,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_018,北京,110000,华北,5G-A通感基站,39.964794,116.628961,2.78,17.2,离线,70.1,2026-06-03,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_019,北京,110000,华北,低空监视雷达,39.724593,116.26182,11.9,28.9,在线,80.2,2026-04-02,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_020,北京,110000,华北,电子围栏边界节点,40.0273,116.663305,1.3,58.8,在线,68.9,2026-06-24,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_021,北京,110000,华北,气象微站,39.905432,116.169286,3.21,54.9,在线,74.4,2026-02-22,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_022,北京,110000,华北,光电云台,40.14311,116.439207,3.4,31.1,在线,84.0,2026-04-25,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_023,北京,110000,华北,ADS-B接收站,40.147404,116.213185,26.73,53.0,在线,80.8,2026-04-30,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_024,北京,110000,华北,低空监视雷达,39.711909,116.436625,9.11,70.3,在线,77.0,2026-06-18,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_025,北京,110000,华北,ADS-B接收站,39.746065,116.200161,34.39,51.8,在线,84.3,2026-05-30,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_026,北京,110000,华北,气象微站,39.676715,116.283724,2.83,42.7,在线,75.5,2026-05-15,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_027,北京,110000,华北,低空监视雷达,39.714582,116.526437,10.98,39.2,在线,80.6,2026-01-29,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_028,北京,110000,华北,电子围栏边界节点,40.038807,116.38334,1.08,35.7,在线,78.6,2026-02-15,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_029,北京,110000,华北,ADS-B接收站,39.675445,116.547794,37.83,51.3,在线,69.1,2026-06-27,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_030,北京,110000,华北,射频侦测,39.955454,116.309383,9.65,64.3,维护,63.5,2026-06-16,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_031,北京,110000,华北,光电云台,39.69908,116.453701,4.82,10.9,在线,71.4,2026-04-18,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_032,北京,110000,华北,光电云台,39.726175,116.592146,2.93,56.4,在线,94.4,2026-06-19,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_033,北京,110000,华北,射频侦测,39.754881,116.396225,10.72,68.4,在线,73.4,2026-05-05,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_034,北京,110000,华北,光电云台,39.696118,116.333122,5.29,41.0,在线,85.9,2026-05-08,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_035,北京,110000,华北,电子围栏边界节点,39.896061,116.130943,1.18,30.1,在线,93.4,2026-05-14,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_036,北京,110000,华北,ADS-B接收站,40.058511,116.481983,39.76,58.7,在线,58.1,2026-06-28,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_037,北京,110000,华北,低空监视雷达,39.830292,116.354318,14.05,48.7,在线,81.9,2026-05-05,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_038,北京,110000,华北,北斗增强站,39.989662,116.544028,19.41,68.7,在线,56.8,2026-01-15,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_039,北京,110000,华北,光电云台,40.058991,116.562809,4.66,70.7,在线,81.2,2026-06-22,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_040,北京,110000,华北,5G-A通感基站,39.985784,116.645156,1.93,69.0,在线,81.6,2026-02-16,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_041,北京,110000,华北,气象微站,39.70428,116.521428,3.17,58.9,在线,91.0,2026-05-28,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_042,北京,110000,华北,射频侦测,39.679536,116.450007,8.55,34.5,在线,84.1,2026-06-06,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_043,北京,110000,华北,光电云台,39.702966,116.69387,3.19,19.9,在线,84.0,2026-05-23,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_044,北京,110000,华北,气象微站,40.019381,116.456615,3.13,16.5,在线,77.5,2026-05-07,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_045,北京,110000,华北,北斗增强站,40.047854,116.695776,23.6,73.7,在线,58.8,2026-06-01,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_046,北京,110000,华北,北斗增强站,39.686999,116.198252,25.66,22.8,维护,78.7,2026-06-21,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_047,北京,110000,华北,北斗增强站,40.103456,116.210834,15.52,73.6,在线,81.0,2026-03-12,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_048,北京,110000,华北,ADS-B接收站,39.963908,116.431774,23.07,21.6,在线,73.6,2026-05-24,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_049,北京,110000,华北,北斗增强站,40.048349,116.368569,26.59,10.0,维护,72.9,2026-03-27,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_110000_050,北京,110000,华北,北斗增强站,39.820838,116.487779,18.09,40.4,在线,73.0,2026-05-06,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_310000_001,上海,310000,华东,北斗增强站,31.264518,121.480051,27.59,62.0,在线,76.4,2026-02-12,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
ST_310000_002,上海,310000,华东,射频侦测,31.06165,121.654166,9.99,73.9,在线,91.3,2026-04-28,simulated_demo_sample,用于平台感知层部署和覆盖分析演示，非真实设备清单。
