route_id,city,city_code,region,scenario,origin_vertiport_id,destination_vertiport_id,route_distance_km,planned_altitude_m,corridor_width_m,daily_planned_sorties,route_status,risk_control_requirement,data_nature,source_basis
RT_310000_001,上海,310000,华东,低空物流配送,VP_310000_020,VP_310000_026,9.2,120,80,12,规划,禁夜航,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_002,上海,310000,华东,医疗物资运输,VP_310000_012,VP_310000_044,34.09,100,120,17,规划,禁夜航,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_003,上海,310000,华东,医疗物资运输,VP_310000_030,VP_310000_043,15.81,100,120,4,试运行,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_004,上海,310000,华东,应急救援,VP_310000_019,VP_310000_044,24.37,80,60,3,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_005,上海,310000,华东,应急救援,VP_310000_016,VP_310000_042,39.3,80,60,30,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_006,上海,310000,华东,城市治理巡检,VP_310000_010,VP_310000_031,51.7,80,100,22,规划,禁夜航,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_007,上海,310000,华东,交通巡查,VP_310000_015,VP_310000_009,47.05,120,80,8,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_008,上海,310000,华东,文旅观光,VP_310000_035,VP_310000_004,37.93,80,100,22,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_009,上海,310000,华东,医疗物资运输,VP_310000_034,VP_310000_019,22.59,80,120,5,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_010,上海,310000,华东,医疗物资运输,VP_310000_015,VP_310000_017,31.77,80,100,32,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_011,上海,310000,华东,城市治理巡检,VP_310000_042,VP_310000_028,37.08,120,60,3,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_012,上海,310000,华东,城市治理巡检,VP_310000_019,VP_310000_029,22.83,100,100,23,运营,禁夜航,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_013,上海,310000,华东,文旅观光,VP_310000_004,VP_310000_021,48.27,100,150,17,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
