scenario,kpi_id,kpi_name,recommended_granularity,data_nature,suggested_visualization,platform_module,source_basis,calculation_hint,note
低空物流配送,KPI0001,日均飞行架次,小时/日/航线/网格,scenario_kpi_template,折线图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0002,准点率,日/航线,scenario_kpi_template,柱状图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0003,飞行计划通过率,日/场景,scenario_kpi_template,漏斗图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0004,平均审批时长,日/场景,scenario_kpi_template,箱线图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0005,电子围栏越界率,日/网格,scenario_kpi_template,热力图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0006,远程识别在线率,小时/设备/航线,scenario_kpi_template,仪表盘,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0007,通信链路可用率,分钟/网格,scenario_kpi_template,地图热力图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0008,告警闭环率,日/部门,scenario_kpi_template,堆叠柱状图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0009,平均处置时长,日/部门/事件类型,scenario_kpi_template,箱线图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0010,飞行高度合规率,日/航线,scenario_kpi_template,环形图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0011,飞行速度合规率,日/航线,scenario_kpi_template,环形图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0012,高风险网格占比,日/街道,scenario_kpi_template,地图热力图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0013,气象影响取消率,日/航线,scenario_kpi_template,折线图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0014,任务完成率,日/场景,scenario_kpi_template,柱状图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0015,单位里程成本,月/场景,scenario_kpi_template,折线图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0016,有效载荷利用率,日/任务,scenario_kpi_template,散点图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0017,设备在线率,小时/设备,scenario_kpi_template,仪表盘,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0018,传感器覆盖率,网格/街道,scenario_kpi_template,地图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0019,重复告警率,日/事件类型,scenario_kpi_template,帕累托图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0020,黑飞疑似识别数,小时/网格,scenario_kpi_template,热力图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0021,低电量返航率,日/机型,scenario_kpi_template,柱状图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0022,人群密集区飞越次数,小时/网格,scenario_kpi_template,热力图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0023,禁飞区接近次数,小时/网格,scenario_kpi_template,热力图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
低空物流配送,KPI0024,飞行密度指数,小时/网格,scenario_kpi_template,热力图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0025,日均飞行架次,小时/日/航线/网格,scenario_kpi_template,折线图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0026,准点率,日/航线,scenario_kpi_template,柱状图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0027,飞行计划通过率,日/场景,scenario_kpi_template,漏斗图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0028,平均审批时长,日/场景,scenario_kpi_template,箱线图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0029,电子围栏越界率,日/网格,scenario_kpi_template,热力图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0030,远程识别在线率,小时/设备/航线,scenario_kpi_template,仪表盘,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0031,通信链路可用率,分钟/网格,scenario_kpi_template,地图热力图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0032,告警闭环率,日/部门,scenario_kpi_template,堆叠柱状图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0033,平均处置时长,日/部门/事件类型,scenario_kpi_template,箱线图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0034,飞行高度合规率,日/航线,scenario_kpi_template,环形图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0035,飞行速度合规率,日/航线,scenario_kpi_template,环形图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0036,高风险网格占比,日/街道,scenario_kpi_template,地图热力图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0037,气象影响取消率,日/航线,scenario_kpi_template,折线图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0038,任务完成率,日/场景,scenario_kpi_template,柱状图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0039,单位里程成本,月/场景,scenario_kpi_template,折线图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0040,有效载荷利用率,日/任务,scenario_kpi_template,散点图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0041,设备在线率,小时/设备,scenario_kpi_template,仪表盘,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0042,传感器覆盖率,网格/街道,scenario_kpi_template,地图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0043,重复告警率,日/事件类型,scenario_kpi_template,帕累托图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0044,黑飞疑似识别数,小时/网格,scenario_kpi_template,热力图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0045,低电量返航率,日/机型,scenario_kpi_template,柱状图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0046,人群密集区飞越次数,小时/网格,scenario_kpi_template,热力图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0047,禁飞区接近次数,小时/网格,scenario_kpi_template,热力图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
城市治理巡检,KPI0048,飞行密度指数,小时/网格,scenario_kpi_template,热力图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
应急救援,KPI0049,日均飞行架次,小时/日/航线/网格,scenario_kpi_template,折线图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
应急救援,KPI0050,准点率,日/航线,scenario_kpi_template,柱状图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
应急救援,KPI0051,飞行计划通过率,日/场景,scenario_kpi_template,漏斗图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
应急救援,KPI0052,平均审批时长,日/场景,scenario_kpi_template,箱线图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
应急救援,KPI0053,电子围栏越界率,日/网格,scenario_kpi_template,热力图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
应急救援,KPI0054,远程识别在线率,小时/设备/航线,scenario_kpi_template,仪表盘,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
应急救援,KPI0055,通信链路可用率,分钟/网格,scenario_kpi_template,地图热力图,运营统计/风险预警/应急联动/公众服务/空域管理,由官方平台监管方向、低空应用场景与安全感知需求归纳，不是官方观测值,按flight_id、grid_id、route_id、alert_type、timestamp等字段聚合计算,用于PPT指标体系、系统原型和数据看板设计。
