grid_id,city,city_code,region,centroid_lat,centroid_lon,airspace_class,max_allowed_altitude_m,nearby_airport_distance_km,population_density_index,flight_density_index,sensor_coverage_score,communication_quality_score,weather_risk_score,computed_risk_score,computed_risk_level,no_fly_or_control_reason,data_nature,source_basis
110000_G0001,北京,110000,华北,39.830923,116.200368,文旅体验区,120,0.67,610.46,4.8,0.71,0.745,0.156,47.86,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0002,北京,110000,华北,39.726713,116.287309,适飞空域,120,2.5,922.88,21.29,0.613,0.96,0.311,26.34,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0003,北京,110000,华北,39.694186,116.217504,机场净空保护区,30,22.16,4097.8,22.7,0.746,0.847,0.213,81.57,严重,机场净空保护区演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0004,北京,110000,华北,40.063928,116.376499,适飞空域,120,14.08,2810.53,6.64,0.67,0.905,0.232,20.02,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0005,北京,110000,华北,39.757284,116.151944,适飞空域,120,4.9,3332.38,23.01,0.831,0.759,0.474,20.52,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0006,北京,110000,华北,39.778349,116.365844,适飞空域,120,4.7,1656.9,14.41,0.817,0.846,0.248,21.62,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0007,北京,110000,华北,39.906197,116.457982,适飞空域,120,13.99,1043.05,26.79,0.607,0.627,0.04,16.46,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0008,北京,110000,华北,40.130538,116.188369,敏感目标保护区,50,3.03,224.05,7.57,0.576,0.692,0.372,87.53,严重,学校/医院/人群密集区/敏感设施演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0009,北京,110000,华北,39.972772,116.355045,适飞空域,120,1.26,2166.4,35.39,0.855,0.629,0.656,45.95,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0010,北京,110000,华北,39.74256,116.696988,低空物流走廊,150,38.03,1613.35,20.38,0.415,0.842,0.226,22.41,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0011,北京,110000,华北,39.628234,116.487494,适飞空域,120,4.07,398.69,16.98,0.858,0.695,0.348,18.22,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0012,北京,110000,华北,40.090876,116.141268,适飞空域,120,2.52,4704.44,3.48,0.419,0.799,0.506,45.29,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0013,北京,110000,华北,39.686447,116.373026,适飞空域,120,4.53,1098.57,33.67,0.511,0.528,0.055,24.61,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0014,北京,110000,华北,39.669216,116.579595,机场净空保护区,30,14.48,772.19,7.9,0.485,0.658,0.168,71.44,高,机场净空保护区演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0015,北京,110000,华北,39.706687,116.342577,敏感目标保护区,50,32.3,2705.8,22.5,0.546,0.752,0.133,83.39,严重,学校/医院/人群密集区/敏感设施演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0016,北京,110000,华北,39.923613,116.53282,管制空域,60,16.32,2817.15,1.19,0.663,0.968,0.105,50.56,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0017,北京,110000,华北,40.01609,116.38861,机场净空保护区,30,6.38,639.31,20.79,0.623,0.827,0.486,74.92,高,机场净空保护区演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0018,北京,110000,华北,39.855999,116.481879,适飞空域,120,10.07,3839.96,22.76,0.635,0.561,0.551,33.36,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0019,北京,110000,华北,40.082708,116.576773,管制空域,60,19.24,2330.09,20.38,0.483,0.671,0.023,46.47,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0020,北京,110000,华北,40.070131,116.347938,管制空域,60,15.71,3304.22,23.54,0.566,0.689,0.197,46.82,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0021,北京,110000,华北,39.725815,116.206209,适飞空域,120,1.75,1924.91,25.82,0.675,0.529,0.263,18.46,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0022,北京,110000,华北,40.14439,116.429663,适飞空域,120,18.96,1455.51,4.38,0.489,0.706,0.063,10.91,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0023,北京,110000,华北,39.697002,116.427961,管制空域,60,28.54,2113.62,14.62,0.85,0.714,0.149,45.55,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0024,北京,110000,华北,40.01645,116.66165,适飞空域,120,14.78,460.58,7.4,0.642,0.881,0.06,20.43,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0025,北京,110000,华北,39.90909,116.497831,机场净空保护区,30,5.81,1856.91,34.01,0.825,0.859,0.021,58.37,中,机场净空保护区演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0026,北京,110000,华北,39.689469,116.459838,禁飞区,0,50.38,1057.87,40.44,0.698,0.923,0.46,81.63,严重,机场/党政机关/军事/重大活动等禁飞范围演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0027,北京,110000,华北,39.663207,116.205211,适飞空域,120,24.34,2055.72,5.81,0.884,0.497,0.275,17.02,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0028,北京,110000,华北,40.052202,116.632379,适飞空域,120,39.58,1550.42,13.46,0.563,0.815,0.092,21.89,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0029,北京,110000,华北,39.998731,116.465645,低空物流走廊,150,32.25,2678.46,1.97,0.796,0.959,0.596,39.37,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0030,北京,110000,华北,39.817343,116.174633,机场净空保护区,30,1.51,3175.27,24.15,0.886,0.908,0.117,77.85,高,机场净空保护区演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0031,北京,110000,华北,39.708396,116.540151,适飞空域,120,10.89,1426.96,25.73,0.634,0.956,0.051,24.12,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0032,北京,110000,华北,39.648822,116.679846,适飞空域,120,10.99,2882.2,38.67,0.857,0.671,0.498,17.68,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0033,北京,110000,华北,39.77027,116.381699,机场净空保护区,30,14.43,6727.71,11.32,0.974,0.535,0.665,74.87,高,机场净空保护区演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0034,北京,110000,华北,39.961811,116.089412,禁飞区,0,67.44,780.81,11.59,0.689,0.881,0.475,75.61,高,机场/党政机关/军事/重大活动等禁飞范围演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0035,北京,110000,华北,40.139145,116.513155,适飞空域,120,13.86,908.36,12.98,0.487,0.64,0.615,22.39,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0036,北京,110000,华北,39.661686,116.371388,机场净空保护区,30,4.72,3003.31,2.2,0.848,0.798,0.214,80.77,严重,机场净空保护区演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0037,北京,110000,华北,40.06419,116.653718,管制空域,60,49.4,1477.11,3.93,0.642,0.426,0.316,42.25,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0038,北京,110000,华北,39.777582,116.567107,管制空域,60,38.22,1018.01,21.79,0.693,0.945,0.083,28.13,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0039,北京,110000,华北,39.702979,116.475328,敏感目标保护区,50,14.67,1311.99,5.49,0.842,0.624,0.292,65.31,高,学校/医院/人群密集区/敏感设施演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0040,北京,110000,华北,39.764711,116.547561,适飞空域,120,31.28,1770.84,10.86,0.829,0.734,0.458,14.15,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0041,北京,110000,华北,39.743757,116.111175,适飞空域,120,27.68,4536.28,35.61,0.778,0.546,0.45,22.95,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0042,北京,110000,华北,40.15491,116.620444,适飞空域,120,6.2,1797.63,14.25,0.77,0.557,0.401,21.84,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0043,北京,110000,华北,40.120499,116.722362,适飞空域,120,0.98,2332.21,1.38,0.58,0.726,0.208,19.67,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0044,北京,110000,华北,39.723636,116.723912,管制空域,60,22.18,1762.02,4.61,0.399,0.615,0.178,58.33,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
